nombre	trim	estado	municipio	isla	comunidad
S'Alqueria Blanca (L'Alqueria Blanca)	S__Alqueria_Blanca-L__Alqueria_Blanca	Localidad	Santanyí	Mallorca	Illes Balears
San Francisco Javier	San_Francisco_Javier	Capital de municipio	Formentera	Formentera	Illes Balears
Sant Agustí	Sant_Agusti	Localidad	Palma	Mallorca	Illes Balears
Sant Elm	Sant_Elm	Localidad	Andratx	Mallorca	Illes Balears
Sant Ferran de Ses Roques	Sant_Ferran_de_Ses_Roques	Localidad	Formentera	Formentera	Illes Balears
Sant Joan	Sant_Joan	Capital de municipio	Sant Joan	Mallorca	Illes Balears
Sant Joan de Labritja	Sant_Joan_de_Labritja	Capital de municipio	Sant Joan de Labritja	Mallorca	Illes Balears
Sant Jordi	Sant_Jordi	Localidad	Palma	Mallorca	Illes Balears
Sant Llorenç des Cardassar	Sant_Llorenc_des_Cardassar	Capital de municipio	Sant Llorenç des Cardassar	Mallorca	Illes Balears
Sant Marçal-Sa Vinya de Son Veri	Sant_Marcal-Sa_Vinya_de_Son_Veri	Localidad	Marratxí	Mallorca	Illes Balears
Sant Miquel de Balansat	Sant_Miquel_de_Balansat	Localidad	Sant Joan de Labritja	Mallorca	Illes Balears
Sant Tomàs	Sant_Tomas	Localidad	Es Migjorn Gran	Mallorca	Illes Balears
Santa Anna	Santa_Anna	Localidad	Es Castell	Mallorca	Illes Balears
Santa Eugènia	Santa_Eugenia	Capital de municipio	Santa Eugènia	Mallorca	Illes Balears
Santa Margalida	Santa_Margalida	Capital de municipio	Santa Margalida	Mallorca	Illes Balears
Santa Margalida (Santa Margarita)	Santa_Margalida-Santa_Margarita	Municipio	Santa Margalida (Santa Margarita)	Mallorca	Illes Balears
Santa María del Camí	Santa_Maria_del_Cami	Capital de municipio	Santa María del Camí	Mallorca	Illes Balears
Santa María del Camí (Santa María del Camino)	Santa_Maria_del_Cami-Santa_Maria_del_Camino	Municipio	Santa María del Camí (Santa María del Camino)	Mallorca	Illes Balears
Santa Ponça	Santa_Ponca	Localidad	Calvià	Mallorca	Illes Balears
Santanyí	Santanyi	Capital de municipio	Santanyí	Mallorca	Illes Balears
S'Aranjassa	S__Aranjassa	Localidad	Palma	Mallorca	Illes Balears
S'Arenal	S__Arenal	Localidad	Llucmajor	Mallorca	Illes Balears
S'Arenal (L'Arenal)	S__Arenal-L__Arenal	Localidad	Palma	Mallorca	Illes Balears
S'Arracó	S__Arraco	Localidad	Andratx	Mallorca	Illes Balears
S'Arxiduc	S__Arxiduc	Localidad	Valldemossa	Mallorca	Illes Balears
Selva	Selva	Capital de municipio	Selva	Mallorca	Illes Balears
Sencelles	Sencelles	Capital de municipio	Sencelles	Mallorca	Illes Balears
Sencelles (Sancellas)	Sencelles-Sancellas	Municipio	Sencelles (Sancellas)	Mallorca	Illes Balears
Ses Bardetes	Ses_Bardetes	Localidad	Formentera	Formentera	Illes Balears
